CompTotal,SurveyEase,PurchaseInfluence,ResponseId,TBranch,SurveyLength,ICorPM
172000.0,Easy,I have little or no influence,223,Yes,Appropriate in length,People manager
47000.0,Neither easy nor difficult,I have little or no influence,224,Yes,Appropriate in length,Independent contributor
101000.0,Neither easy nor difficult,I have little or no influence,225,Yes,Appropriate in length,Independent contributor
,Easy,I have some influence,226,No,Too long,
,Neither easy nor difficult,,227,,Appropriate in length,
120000.0,Easy,I have some influence,228,Yes,Appropriate in length,People manager
,Easy,I have some influence,229,No,Too long,
,Easy,,231,,Appropriate in length,
160000.0,Neither easy nor difficult,I have little or no influence,232,Yes,Appropriate in length,Independent contributor
175000.0,Easy,I have little or no influence,233,Yes,Appropriate in length,Independent contributor
204300.0,Easy,I have some influence,234,No,Appropriate in length,
,Neither easy nor difficult,I have some influence,235,No,Appropriate in length,
,Neither easy nor difficult,I have some influence,236,No,Too long,
175000.0,Easy,I have some influence,237,No,Appropriate in length,
58500.0,Easy,I have some influence,238,No,Appropriate in length,
100000.0,Easy,I have a great deal of influence,239,Yes,Appropriate in length,People manager
,Easy,,240,No,Appropriate in length,
55000.0,Easy,I have some influence,241,No,Appropriate in length,
60000.0,Easy,I have a great deal of influence,242,No,Appropriate in length,
64000.0,Easy,I have some influence,243,Yes,Appropriate in length,Independent contributor
12500.0,Easy,I have little or no influence,244,No,Appropriate in length,
24500.0,Easy,I have little or no influence,245,No,Appropriate in length,
75000.0,Easy,I have little or no influence,246,No,Appropriate in length,
250000.0,Neither easy nor difficult,I have some influence,247,Yes,Appropriate in length,People manager
,Easy,I have some influence,248,No,Appropriate in length,
,Easy,,249,,Appropriate in length,
,Neither easy nor difficult,I have a great deal of influence,250,,Appropriate in length,
,Easy,I have a great deal of influence,251,No,Appropriate in length,
,Easy,,252,,Appropriate in length,
46000.0,Easy,I have little or no influence,253,No,Appropriate in length,
96700.0,Easy,I have some influence,254,Yes,Appropriate in length,Independent contributor
,Neither easy nor difficult,I have a great deal of influence,255,Yes,Too long,Independent contributor
,Easy,I have a great deal of influence,256,No,Appropriate in length,
,Easy,I have a great deal of influence,257,Yes,Appropriate in length,Independent contributor
10000.0,Easy,I have little or no influence,258,Yes,Appropriate in length,Independent contributor
55000.0,Easy,I have some influence,259,Yes,Appropriate in length,People manager
60000.0,Neither easy nor difficult,I have some influence,260,No,Appropriate in length,
22000.0,Easy,I have some influence,261,Yes,Appropriate in length,Independent contributor
56000.0,Easy,I have little or no influence,262,Yes,Appropriate in length,Independent contributor
,Easy,I have some influence,263,No,Appropriate in length,
638700.0,Easy,I have some influence,264,No,Appropriate in length,
,Easy,,265,,Appropriate in length,
220000.0,Neither easy nor difficult,I have some influence,266,Yes,Appropriate in length,Independent contributor
220000.0,Easy,I have some influence,267,No,Too short,
80000.0,Neither easy nor difficult,I have some influence,268,Yes,Appropriate in length,People manager
,Easy,I have some influence,269,Yes,Appropriate in length,
,Easy,,270,,Appropriate in length,
77000.0,Easy,I have some influence,271,Yes,Appropriate in length,Independent contributor
150000.0,Easy,I have a great deal of influence,272,No,Appropriate in length,
140000.0,Easy,I have some influence,273,Yes,Appropriate in length,Independent contributor
100000.0,Neither easy nor difficult,I have some influence,274,Yes,Appropriate in length,Independent contributor
27000.0,Easy,I have some influence,275,Yes,Appropriate in length,Independent contributor
33500.0,Easy,I have some influence,276,Yes,Appropriate in length,Independent contributor
88000.0,Easy,I have little or no influence,277,Yes,Appropriate in length,Independent contributor
67000.0,Easy,I have little or no influence,278,Yes,Appropriate in length,Independent contributor
7192.0,Easy,I have little or no influence,279,Yes,Appropriate in length,Independent contributor
315000.0,Easy,I have little or no influence,280,Yes,Appropriate in length,Independent contributor
,Easy,I have some influence,281,No,Appropriate in length,
200000.0,Easy,I have some influence,282,Yes,Appropriate in length,Independent contributor
,Easy,,283,Yes,Appropriate in length,Independent contributor
33000.0,Easy,I have some influence,284,Yes,Appropriate in length,Independent contributor
62000.0,Easy,I have little or no influence,285,No,Appropriate in length,
,Easy,I have some influence,286,No,Appropriate in length,
67000.0,Easy,I have some influence,287,No,Appropriate in length,
150000.0,Easy,I have a great deal of influence,288,No,Appropriate in length,
,Easy,,289,,Too short,
83000.0,Easy,I have some influence,290,No,Appropriate in length,
,Easy,I have some influence,291,Yes,Appropriate in length,Independent contributor
59000.0,Easy,I have little or no influence,292,Yes,Appropriate in length,Independent contributor
,Easy,,293,,Appropriate in length,
32000.0,Easy,I have little or no influence,294,No,Too long,
,Neither easy nor difficult,,295,,Appropriate in length,
90000.0,Easy,I have a great deal of influence,296,Yes,Appropriate in length,Independent contributor
180000.0,Easy,I have some influence,297,Yes,Appropriate in length,Independent contributor
15000.0,Easy,I have some influence,298,Yes,Too long,Independent contributor
104000.0,Easy,I have some influence,299,Yes,Appropriate in length,
,Easy,I have some influence,300,No,Appropriate in length,
,Easy,I have some influence,301,Yes,Too long,Independent contributor
155000.0,Neither easy nor difficult,I have some influence,302,No,Appropriate in length,
,Easy,,303,No,Appropriate in length,
21000.0,Neither easy nor difficult,I have some influence,304,No,Too long,
90000.0,Easy,I have a great deal of influence,305,No,Appropriate in length,
,Easy,,306,,Appropriate in length,
206000.0,Easy,I have some influence,307,Yes,Appropriate in length,Independent contributor
160000.0,Easy,I have some influence,308,Yes,Too short,Independent contributor
,Neither easy nor difficult,,309,,Appropriate in length,
,Neither easy nor difficult,,310,,Appropriate in length,
46000.0,Easy,I have a great deal of influence,311,No,Appropriate in length,
45000.0,Easy,I have little or no influence,312,Yes,Appropriate in length,Independent contributor
,Easy,I have little or no influence,313,Yes,Appropriate in length,Independent contributor
,Easy,,314,,Appropriate in length,
130000.0,Easy,I have some influence,315,Yes,Appropriate in length,Independent contributor
230000.0,Easy,I have some influence,316,Yes,Appropriate in length,People manager
155000.0,Easy,I have some influence,317,Yes,Appropriate in length,Independent contributor
36000.0,Easy,I have some influence,318,Yes,Appropriate in length,Independent contributor
,Easy,,319,,Appropriate in length,
,Easy,I have some influence,320,Yes,Appropriate in length,People manager
,Easy,,321,Yes,Too long,Independent contributor
110000.0,Easy,I have some influence,322,Yes,Appropriate in length,Independent contributor
70000.0,Easy,I have some influence,323,Yes,Appropriate in length,Independent contributor
,Easy,I have some influence,324,No,Appropriate in length,
60000.0,Easy,I have little or no influence,325,Yes,Appropriate in length,Independent contributor
,Neither easy nor difficult,I have little or no influence,326,Yes,Appropriate in length,Independent contributor
,Easy,I have some influence,327,Yes,Appropriate in length,Independent contributor
,Neither easy nor difficult,I have a great deal of influence,328,Yes,Too long,Independent contributor
,Easy,,329,Yes,Appropriate in length,Independent contributor
95000.0,Easy,I have little or no influence,330,Yes,Appropriate in length,Independent contributor
130000.0,Easy,I have some influence,331,Yes,Appropriate in length,Independent contributor
,Easy,,332,,Appropriate in length,
650000.0,Neither easy nor difficult,I have some influence,333,No,Appropriate in length,
,Easy,I have some influence,334,Yes,Appropriate in length,People manager
65000.0,Easy,I have little or no influence,335,No,Appropriate in length,
,Neither easy nor difficult,,336,Yes,Appropriate in length,Independent contributor
80000.0,Easy,I have some influence,337,Yes,Appropriate in length,Independent contributor
,Easy,I have little or no influence,338,No,Too long,
,Easy,,339,,Appropriate in length,
50000.0,Easy,I have some influence,340,Yes,Appropriate in length,Independent contributor
3500.0,,I have a great deal of influence,341,,Too long,
900000.0,Easy,I have little or no influence,342,Yes,Too short,Independent contributor
,Easy,I have little or no influence,343,No,Appropriate in length,
240000.0,Easy,I have a great deal of influence,344,No,Appropriate in length,
,Easy,I have little or no influence,345,No,Too long,
42000.0,Easy,I have little or no influence,346,Yes,Appropriate in length,Independent contributor
100000.0,Easy,I have little or no influence,347,Yes,Appropriate in length,Independent contributor
75000.0,Easy,I have some influence,348,Yes,Appropriate in length,Independent contributor
,Easy,I have some influence,349,Yes,Appropriate in length,Independent contributor
,Neither easy nor difficult,,350,,Appropriate in length,
3400.0,Neither easy nor difficult,I have some influence,351,Yes,Appropriate in length,Independent contributor
4000.0,Easy,I have little or no influence,352,Yes,Appropriate in length,Independent contributor
,Neither easy nor difficult,I have a great deal of influence,353,Yes,Appropriate in length,People manager
56000.0,Neither easy nor difficult,I have little or no influence,354,No,Appropriate in length,
,Easy,,355,,Too short,
120000.0,Easy,I have little or no influence,356,Yes,Appropriate in length,Independent contributor
160000.0,Easy,I have some influence,357,No,Appropriate in length,
1568000.0,Neither easy nor difficult,I have little or no influence,358,Yes,Appropriate in length,Independent contributor
175000.0,Easy,I have a great deal of influence,359,Yes,Appropriate in length,Independent contributor
42000.0,Easy,I have some influence,360,Yes,Appropriate in length,Independent contributor
150000.0,Easy,I have some influence,361,Yes,Appropriate in length,Independent contributor
50000.0,Neither easy nor difficult,I have some influence,362,Yes,Too long,Independent contributor
120000.0,Easy,I have some influence,363,Yes,Appropriate in length,Independent contributor
210000.0,Difficult,I have little or no influence,364,Yes,Too long,Independent contributor
,Easy,I have a great deal of influence,365,Yes,Appropriate in length,Independent contributor
350000.0,Easy,I have some influence,366,No,Appropriate in length,
109000.0,Easy,I have little or no influence,367,Yes,Appropriate in length,Independent contributor
70000.0,Easy,I have little or no influence,368,Yes,Appropriate in length,Independent contributor
,Easy,,369,,Too short,
150000.0,Easy,I have a great deal of influence,370,No,Appropriate in length,
,Easy,I have little or no influence,371,No,Appropriate in length,
100000.0,Easy,I have some influence,372,No,Appropriate in length,
360000.0,Easy,I have little or no influence,373,Yes,Appropriate in length,Independent contributor
1060.0,Easy,I have some influence,374,No,Appropriate in length,
,Easy,I have little or no influence,375,No,Appropriate in length,
,Easy,,376,Yes,Appropriate in length,Independent contributor
,Easy,,377,,Appropriate in length,
1130.0,Easy,I have a great deal of influence,378,No,Too long,
12000.0,Neither easy nor difficult,I have little or no influence,379,No,Appropriate in length,
,Easy,,380,Yes,Appropriate in length,Independent contributor
8000.0,Neither easy nor difficult,I have some influence,381,Yes,Too long,Independent contributor
52800.0,Neither easy nor difficult,I have little or no influence,382,Yes,Too long,Independent contributor
40000.0,Easy,I have some influence,383,Yes,Appropriate in length,Independent contributor
,Easy,,384,,Too long,
160000.0,Easy,I have a great deal of influence,385,Yes,Too short,Independent contributor
3300.0,Easy,I have little or no influence,386,No,Appropriate in length,
124000.0,Easy,I have some influence,387,Yes,Appropriate in length,Independent contributor
100000.0,Easy,I have a great deal of influence,388,Yes,Too long,People manager
,Easy,I have some influence,389,Yes,Appropriate in length,Independent contributor
42000.0,Neither easy nor difficult,I have some influence,390,Yes,Appropriate in length,Independent contributor
205000.0,Neither easy nor difficult,I have a great deal of influence,391,Yes,Appropriate in length,People manager
4200.0,Easy,I have some influence,392,Yes,Appropriate in length,Independent contributor
4250.0,Easy,I have some influence,393,Yes,Appropriate in length,Independent contributor
100000.0,Easy,I have some influence,394,No,Appropriate in length,
65000.0,Easy,I have little or no influence,395,Yes,Too long,Independent contributor
1680.0,Easy,I have a great deal of influence,396,No,Appropriate in length,
44000.0,Easy,I have little or no influence,397,No,Appropriate in length,
,Neither easy nor difficult,I have a great deal of influence,398,Yes,Appropriate in length,Independent contributor
,Easy,I have some influence,399,Yes,Appropriate in length,Independent contributor
49000.0,Neither easy nor difficult,I have little or no influence,400,Yes,Appropriate in length,Independent contributor
,Easy,I have some influence,401,Yes,Appropriate in length,Independent contributor
31000.0,Easy,I have some influence,402,Yes,Appropriate in length,Independent contributor
45000.0,Easy,I have little or no influence,403,No,Appropriate in length,
76000.0,Easy,I have some influence,404,Yes,Appropriate in length,Independent contributor
115000.0,Easy,I have little or no influence,405,Yes,Appropriate in length,Independent contributor
200000.0,Easy,I have a great deal of influence,406,Yes,Appropriate in length,People manager
,Neither easy nor difficult,,407,Yes,Appropriate in length,Independent contributor
252000.0,Neither easy nor difficult,I have some influence,408,No,Appropriate in length,
,Neither easy nor difficult,,409,Yes,Too long,Independent contributor
60000.0,Easy,I have little or no influence,410,Yes,Too short,Independent contributor
3200.0,Neither easy nor difficult,I have little or no influence,411,Yes,Appropriate in length,Independent contributor
0.0,Easy,I have a great deal of influence,412,,Appropriate in length,
,Easy,,413,No,Too long,
,Neither easy nor difficult,I have a great deal of influence,414,No,Appropriate in length,
,Easy,,415,,Too short,
,Easy,,416,,Appropriate in length,
,Easy,I have little or no influence,417,No,Too long,
,Neither easy nor difficult,,418,,Appropriate in length,
86000.0,Easy,I have little or no influence,419,No,Appropriate in length,
,Easy,,420,,Appropriate in length,
,Easy,,421,Yes,Appropriate in length,Independent contributor
165000.0,Easy,I have some influence,422,No,Appropriate in length,
350000.0,Easy,I have a great deal of influence,423,,Too short,
87000.0,Easy,I have some influence,424,No,Appropriate in length,
,Easy,,425,,Appropriate in length,
160000.0,Easy,I have little or no influence,426,No,Appropriate in length,
145000.0,Easy,I have some influence,427,No,Appropriate in length,
,Easy,,428,,Appropriate in length,
80000.0,Easy,I have some influence,429,No,Appropriate in length,
,Neither easy nor difficult,I have a great deal of influence,430,,Appropriate in length,
30000.0,Easy,I have some influence,431,Yes,Appropriate in length,Independent contributor
96300.0,Easy,I have some influence,432,Yes,Appropriate in length,Independent contributor
50000.0,Easy,I have some influence,433,No,Appropriate in length,
,Easy,,434,,Too short,
54000.0,Easy,I have little or no influence,435,Yes,Appropriate in length,Independent contributor
55000.0,Easy,I have some influence,436,No,Appropriate in length,
,Neither easy nor difficult,,437,,Appropriate in length,
,Easy,I have some influence,438,No,Appropriate in length,
100400.0,Easy,I have a great deal of influence,439,Yes,Appropriate in length,People manager
158000.0,Easy,I have some influence,440,Yes,Appropriate in length,Independent contributor
350000.0,Neither easy nor difficult,I have little or no influence,441,Yes,Appropriate in length,Independent contributor
,Easy,I have some influence,442,Yes,Appropriate in length,Independent contributor
90000.0,Easy,I have some influence,443,Yes,Appropriate in length,Independent contributor
,Easy,,444,,Appropriate in length,
24000.0,Easy,I have little or no influence,445,Yes,Appropriate in length,Independent contributor
20000.0,Easy,I have little or no influence,446,No,Appropriate in length,
150000.0,Easy,I have some influence,447,Yes,Appropriate in length,Independent contributor
,Easy,I have some influence,448,No,Appropriate in length,
120000.0,Easy,I have a great deal of influence,449,Yes,Appropriate in length,People manager
